address,is_erc20,is_erc721,block_timestamp,block_number,block_hash
0x336c738b2b0c8f8c2475fccaf45ecab790218a9f,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0x140a51bb61f8006362b22a7a52c22a7fd41a728d,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0x8e20212e3a2440cf39b0f84c55029d43d09055de,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0x480e1a961e293edc70a2ddbcd5263f30eaa65335,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0x783c3e178f67c5c3b3ec8adbcc7bd58a9430c9a9,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0xf85806404f6ae37f2c329bb56deeed9476d6e322,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0xe7dbf7dc20ecfc0184f81d26bb9a7a89d24f14a9,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0x421280b7c341db0b4b6e9d34256fe4a06aac15f9,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
0xfd2d7cf6f95bd14a54c627ad88032e774fc178a4,false,false,2021-03-07 16:38:07 UTC,11992465,0xf062149a07d0bf35466348c47ee65c0985fe6adff35158438d3dcac4e3aa9ce9
0x04bf4c9e99a78d32c0d7550ff802e9b0d4f1611a,false,false,2021-03-07 16:38:06 UTC,11992464,0x35c2bba32e4d07164c43b94840def63bcb222f66b31a6e0c5987877f35df43eb
